id	label	weight
1	S. Karunakara Moorthi	2
2	Uwe Geier	12
3	Jean-Philippe Wagner	1
4	Rajendran Scaria Edacheril	0
5	Roger B. Davis	4
6	Grant J. Jensen	2
7	Jordan Swiderski	6
8	Lauro Vargas	0
9	Mahesh Mallappa	6
10	Geoffrey Michael Gadd	0
11	Nivedita Kundu	11
12	Oleg Mosin	5
13	Gaby Mergardt	9
14	Javier I. Ordóñez	2
15	Harald Lothaller	6
16	Sergey V. Gudkov	2
17	Shiv Murty Singh	4
18	Johanna Döring	5
19	Divya Taneja	20
20	Priyanka Nim	8
21	Hiral Shah	3
22	Carlos Michel Ojeda-Silvera	4
23	Christian W. Lübbers	1
24	Lawrence Chukwudi Nwabudike	1
25	Lenita M. Stefani	7
26	Hiroaki Imai	2
27	Akkihebbal K. Suresh	4
28	Marta Marzotto	13
29	Jincheng Du	2
30	Subhasish Ganguly	7
31	Camila Monteiro Siqueira	13
32	Maurizio Brizzi	6
33	Amanda do Prado Mattos	3
34	Thomas Ostermann	7
35	Sergio Rodríguez	2
36	Silvia Waisse	13
37	Lenka Tenžera	3
38	Amulya Ratna Sahoo	18
39	Arun Kumar Gupta	14
40	Camelia Berghian-Groșan	1
41	Curt Kösters	6
42	Vasim R. Shaikh	5
43	Helmut Roniger	14
44	P. Lees	5
45	Peter Kiefer	1
46	Chaturbhuja Nayak	27
47	Sylvie Roke	3
48	Peter Christian Endler	10
49	William Delnet	9
50	Rodrigo A. da Silva	4
51	Sameer N. Goyal	1
52	С. А. Тарасов	2
53	Kosuke Sato	2
54	Juliana Gimenez Amaral	5
55	Cosima Rughiniş	1
56	Amit Bhasme	0
57	Yvonne Fok	4
58	Ritu Karwasra	5
59	Fábio de Almeida Bolognani	14
60	Fujie Tang	7
61	Luka Jan	3
62	Charles S. Cockell	2
63	Liesbeth Ellinger	3
64	Michele Antonelli	1
65	Cidéli de Paula Coelho	20
66	Shahab Ayatollahi	3
67	Raj Singh	4
68	Subhas Singh	12
69	Deepthi Gilla et al. Dr. Deepthi Gilla et al.	0
70	Supriya Singh	2
71	Francisco Rafael Martins Soto	7
72	Solange Bósio Tedesco	4
73	Bhuvaneswari Rajachandrasekar	5
74	Seikh Swaif Ali	6
75	Luísa A. Ferreira	3
76	Saurav Arora	0
77	Martine Goyens	5
78	Gleyce Moreno Barbosa	15
79	Ida K. Ø. Hansen	2
80	Sandro Roberto Valentini	2
81	Achintya Singha	11
82	Л. И. Муртазина	2
83	Yuqiu Chen	2
84	Rafael Harduim	5
85	José Eizayaga	1
86	Johannes Hunger	9
87	Relly Victoria Petrescu	3
88	Abhishek Pramanik	8
89	Linda Nurra	4
90	Nikita Kepezhinskas	3
91	Tatiana V. Kulichenko	6
92	Iddo Pinkas	7
93	Manjula Ghuliani	18
94	Ricardo Visini	8
95	Javier Montenegro	1
96	Udaiveer Singh	14
97	Claudine Katan	6
98	J. Als‐Nielsen	4
99	Jürgen Pannek	9
100	Mara G. Freire	2
101	Jens‐Otto Andersen	9
102	Atheni Konar	10
103	Vijay M. Tangde	1
104	Thomas Keller	8
105	Bibaswan Biswas	8
106	João A. P. Coutinho	2
107	Annekathrin Ücker	9
108	Nílson Roberti Benites	7
109	Flávia Carolina Souza de Oliveira	7
110	Francis Rayns	6
111	Inga V. Artemova	6
112	Н.Н. Угарова	1
113	Anuska Marcelino Alvares-Saraiva	10
114	Tsviya Olender	7
115	Paul Doesburg	21
116	Halina Ekiert	4
117	Renan Marino	0
118	Takakazu Seki	10
119	Stéṕhane Gin	2
120	Saba Hosseinian	5
121	Deepthi Gilla	2
122	Naoual Boujedaini	3
123	Cassiane Ubessi	4
124	Mahima Sharma	9
125	A. I. Konovalov	3
126	Mohammad Qutubuddin	4
127	S. P. Kulik	2
128	Mischa Bonn	18
129	Abanti Goswami	7
130	Giovani Bravin Peres	12
131	L. A. Dadinova	9
132	Sandra Piras	6
133	Thomas Reinhold	2
134	Lynn Legg	15
135	Cornellia Maute	5
136	Lex Rutten	34
137	Sulochana Singh	0
138	Jean‐Paul Bourdineaud	3
139	Sandhimita Mondal	2
140	Petteri A. Vainikka	0
141	Huang Wei Ling	0
142	Petter Viksveen	8
143	He‐Dong Bian	0
144	Maristela Dutra-Corrêa	10
145	Dionysios Tsintzas	3
146	Raj Kumar Singh	6
147	Franciele Karina da Veiga	4
148	Fariba Rahimi	4
149	Abdullah Ijaz Hussain	3
150	Olivier Mathon	5
151	Delmonte Roboredo	5
152	Luana Rampazzo	7
153	Fariba Rahimi	4
154	Salvatore Chirumbolo	0
155	Abhijit Chakma	2
156	Frauke Musial	9
157	Sandra Ávila Gaspar	6
158	Satoshi Nihonyanagi	1
159	Isabelle Kieffer	9
160	Anisur Rahman Khuda‐Bukhsh	2
161	Sabine D. Klein	4
162	Susanne Pannek-Rademacher	1
163	Cheshta Nagrath	18
164	Albert Sundrum	1
165	Julia Wright	6
166	Anu Chawla	18
167	Mark M. Turnbull	0
168	Ted J. Kaptchuk	4
169	Saranya Pullanchery	2
170	Márcia Vargas Toledo	3
171	Georgios M. Kontogeorgis	2
172	Dor Ben‐Amotz	0
173	Konstantinos Kelaidonis	6
174	Mihael Drofenik	1
175	David B. Mitzi	0
176	Menachem Oberbaum	30
177	Deepti Dewan	6
178	Debora Olioso	6
179	Lorenzetti Eloisa	3
180	Bharat Kumar Reddy Sanapalli	6
181	Rosângela Vieira de Andrade	4
182	David M. Wilkins	3
183	А. В. Сыроешкин	1
184	Iain McDonald	1
185	Nikita V. Penkov	3
186	Martine Goyens	3
187	Tandra Sarkar	10
188	Suraia Parveen	7
189	К. В. Шайтан	12
190	В. В. Обухов	1
191	Navita Bagdi	2
192	Judith Stickdorn	1
193	Ariane Briegel	2
194	Stephen L. Buskin	10
195	Ramesh Bawaskar	20
196	Dilip H. Dagade	4
197	Benjamin J Buffington	4
198	Jonathan R. Lloyd	0
199	Amjad Ali	7
200	Edzard Ernst	1
201	Wolfram W. Rudolph	1
202	Sarabjit Sarkar	14
203	Marcus Zulian Teixeira	0
204	Nitin Magotra	11
205	Smita N Nambison	1
206	Mohammad Mohshinuzzaman	6
207	G. Irmer	1
208	Yu. A. Nikolaev	14
209	Shifa Shaffique	7
210	Ana Catarina Viana Valle	4
211	Silvio Leite Monteiro da Silva	4
212	Laura L. Pan	1
213	Michael Frass	22
214	Chintamani Nayak	14
215	Roja Varanasi	27
216	Munmun Koley	37
217	Leoni Bonamin	2
218	Maya Padmanabhan	13
219	Yang Yang	4
220	Fabiana Nabarro Ferraz	6
221	Ivan A. Orlov	9
222	Laurence Terzan	11
223	Elhameh Nikkhah	4
224	Andrey A. Mozhaev	9
225	Jorge F. B. Pereira	2
226	M. Yu. Skripkin	0
227	Pankaj Gupta	16
228	Sunil M. Raheja	7
229	Gianfranco Maria Beghi	1
230	Benjamin A. Palmer	1
231	Alessandro Triolo	3
232	Carolina Aquino	7
233	Priya Mondal	5
234	Jens Smiatek	0
235	Abbas Delazar	4
236	Anwar H Biswas	6
237	Leonardo Felipe Faedo	8
238	Sk. Swaif Ali	17
239	Iris R. Bell	4
240	Josef M. Schmidt	0
241	Kanjaksha Ghosh	3
242	Armin Springer	1
243	Kate Hawke	4
244	Ludovic Pelligand	5
245	Malaya Kumar Ray	18
246	Arun Bhargav Jadhav	1
247	Tobias Weidner	2
248	Márcia Cristina Braga Nunes Varricchio	6
249	Hanuman Ram	1
250	Md. Jahangir Alom	6
251	Laura Kate Gadanec	6
252	David A. Holwell	1
253	Dana Ullman	0
254	Rathin Chakravarty	6
255	Md. Emrul Kayes	6
256	Alexandre Giesel	3
257	Rajat Chattopadhyay	2
258	A. L. Chulichkov	12
259	Hyeonseok Lee	0
260	Denis Testemale	9
261	Sukhen Das	12
262	Yuki Nagata	14
263	Tamara Denisova	5
264	Maria Martha Bernardi	11
265	Alberto Striolo	0
266	Jean-Lionel Bagot	2
267	Daulemys Batista-Sánchez	4
268	Lutz Nuhn	1
269	Michael Teut	18
270	Anthony Zulli	6
271	Mari Inês Caríssimi Boff	7
272	Ingrid Theunissen	1
273	Maksym V. Kovalenko	0
274	Amit Srivastava	1
275	Bilquis Hussain	7
276	Tatsuhiko Ohto	12
277	Dmitry O. Sinitsyn	13
278	Shahzad Ali Shahid Chatha	3
279	Ricardo Adriano Felito	5
280	Meeta Gupta	19
281	Paola Caria	6
282	Christa Raak	7
283	Nadezhda L. Pakhmutova	5
284	Anupam Mukherjee	2
285	Neta Varsano	7
286	Joy Kumar Dey	2
287	Yuya Oaki	2
288	K. C. Muraleedharan	4
289	Joonwoo Jeong	1
290	Tim Jäger	16
291	Luis M. De Leon Rodriguez	5
292	Vicente Wagner Dias Casali	3
293	Е. А. Кириченко	3
294	Anezka Sokol	6
295	Achim Stocker	8
296	Bruno Reis	2
297	Norina Jabeen	7
298	Rachna Goenka	4
299	И. С. Рыжкина	2
300	Mark Fox‐Powell	2
301	Miriam Athmann	13
302	Gurudev Choubey	7
303	Aditya Dilipkumar Patil	0
304	Jean‐Louis Hazemann	9
305	Sonja Hribar-Marko	3
306	Claudia Scherr	28
307	Sandra Würtenberger	6
308	Stephan Baumgartner	37
309	Amrit Kalsi	18
310	Samy Ould‐Chikh	9
311	Agnete E. Kristoffersen	4
312	Н. Е. Сузина	7
313	Fateme Mirzajani	6
314	Daniel Bonn	4
315	Nilesh Shah	1
316	Parina Asgharian	4
317	Mohammad Hossein Ghazanfari	3
318	Kevin Pope	1
319	Tamis Darbre	8
320	Bruno F. Fortuoso	7
321	Megan Bergkessel	0
322	Tanmoy Maity	1
323	Jean‐Louis Reymond	8
324	Dvir Gur	7
325	Konstantin Kartaschew	2
326	Giuseppina Sanna	6
327	Sian Moss	12
328	Cármen Rodrı́guez-Jaramillo	3
329	Julia K. Ostermann	2
330	Rizwan Ahamed	4
331	Indrani Chakraborty	5
332	Priscilla Anne Melville	7
333	Anil Khurana	48
