id1	id2	weight
107	460	2
107	65	3
107	422	3
107	70	3
107	327	2
107	108	2
107	495	1
460	65	6
460	422	2
460	70	2
460	260	3
460	585	1
460	129	2
460	437	1
460	464	1
460	351	5
460	175	1
460	739	3
460	705	1
460	28	2
460	36	5
460	486	1
460	216	1
460	145	1
460	652	1
460	789	2
460	495	2
460	54	2
460	409	5
460	831	3
460	348	1
460	31	2
460	710	1
460	77	1
460	401	1
460	771	1
460	684	1
460	721	2
460	755	2
460	385	1
460	763	1
460	50	2
460	327	1
460	108	1
460	304	1
460	748	1
460	302	1
460	207	1
460	142	2
460	458	2
460	286	1
460	48	1
460	112	2
65	422	3
65	70	3
65	260	1
65	789	1
65	495	2
65	54	1
65	36	2
65	409	3
65	831	1
65	327	2
65	108	2
65	351	2
65	348	1
65	31	1
65	112	1
65	129	1
65	142	1
65	721	1
422	70	3
422	327	2
422	108	2
422	495	1
70	327	2
70	108	2
70	495	1
127	117	4
127	729	1
127	258	7
127	481	3
127	343	9
127	778	3
127	60	2
127	272	5
127	783	2
127	363	2
127	243	1
127	510	2
127	676	2
127	310	2
127	567	1
127	85	2
127	784	3
127	477	3
117	729	1
117	258	4
117	481	3
117	784	3
117	477	3
117	343	1
117	778	2
117	272	2
117	85	1
729	258	2
729	481	1
729	179	1
258	481	3
258	343	4
258	778	3
258	60	2
258	272	6
258	510	1
258	676	1
258	179	1
258	784	3
258	477	3
258	85	1
481	784	2
481	477	2
481	85	1
481	272	1
481	778	1
441	390	4
441	302	1
441	233	3
441	162	3
441	109	3
441	741	2
441	706	1
441	267	1
390	302	1
390	233	3
390	162	3
390	109	3
390	741	2
390	267	9
390	706	4
390	696	1
390	252	2
390	613	2
390	33	2
302	233	2
302	162	1
302	109	1
302	813	3
302	2	4
302	297	4
302	13	4
302	633	4
302	114	9
302	304	12
302	585	2
302	552	1
302	290	3
302	286	5
302	361	1
302	551	1
302	524	2
302	459	3
302	106	2
302	100	3
302	748	1
302	545	2
302	564	1
302	703	1
233	162	3
233	109	3
233	741	2
233	304	1
233	290	1
162	109	3
162	741	2
109	741	2
859	191	3
859	818	1
859	328	6
859	19	5
859	212	1
859	72	1
859	677	5
859	530	1
859	751	1
859	399	2
859	637	2
859	39	2
859	516	2
859	38	1
859	198	2
859	95	2
859	854	2
859	801	2
859	174	1
859	304	1
859	473	1
859	735	1
859	500	1
859	392	1
859	800	1
859	209	1
191	818	1
191	328	4
191	19	3
191	399	2
191	637	2
191	39	2
191	516	2
191	38	1
191	198	2
191	95	2
191	854	2
191	677	2
191	801	2
191	453	2
191	711	1
191	773	1
191	373	1
818	328	4
818	19	1
818	857	1
818	214	1
818	812	3
818	636	1
818	211	3
818	688	2
818	223	1
818	625	1
818	123	1
818	135	2
818	284	1
818	453	1
818	435	1
818	793	1
818	414	1
818	850	1
818	465	1
818	419	1
818	471	1
818	824	1
818	810	1
818	766	1
818	58	1
818	104	1
328	19	7
328	850	1
328	373	3
328	660	9
328	224	2
328	554	2
328	654	2
328	677	11
328	20	2
328	824	2
328	104	2
328	391	1
328	658	1
328	399	2
328	637	2
328	39	2
328	516	2
328	38	1
328	198	2
328	95	2
328	854	2
328	801	2
328	416	1
328	688	2
328	223	1
328	625	1
328	123	1
328	465	2
328	211	2
328	711	2
328	773	2
328	174	1
328	257	3
328	779	3
328	823	2
328	817	3
328	835	2
328	573	2
328	46	1
328	462	1
328	810	1
328	766	1
328	58	1
328	419	1
328	527	1
328	828	1
328	304	1
328	473	1
328	735	1
328	500	1
328	392	1
328	800	1
328	209	1
328	776	1
19	399	2
19	637	2
19	39	2
19	516	2
19	38	1
19	198	2
19	95	2
19	854	2
19	677	3
19	801	2
19	773	1
19	174	1
19	46	1
19	462	1
207	351	1
207	260	1
207	142	1
212	588	4
212	751	18
212	347	5
212	294	2
212	769	2
212	821	2
212	627	4
212	687	3
212	722	4
212	715	2
212	855	2
212	234	4
212	210	1
212	527	3
212	72	1
212	677	1
212	530	4
212	87	1
212	841	1
212	453	1
212	419	1
212	575	1
212	184	1
212	68	2
212	11	2
212	761	3
212	200	2
212	30	2
212	775	2
212	73	2
212	782	2
212	298	1
212	46	2
212	125	2
212	17	2
212	135	1
588	751	4
588	347	1
588	627	2
588	687	2
588	722	2
588	715	1
588	855	1
588	234	2
588	210	1
588	527	2
588	68	2
588	11	3
588	761	2
588	200	2
751	347	5
751	294	2
751	769	2
751	821	2
751	627	4
751	687	3
751	722	4
751	715	2
751	855	2
751	234	4
751	210	1
751	527	3
751	72	1
751	677	1
751	530	4
751	68	2
751	11	2
751	761	3
751	200	2
751	30	2
751	775	2
751	73	2
751	782	2
751	298	1
751	46	2
751	125	2
751	17	2
751	135	1
347	294	1
347	769	2
347	760	1
347	775	2
347	530	2
347	73	2
347	782	1
347	298	1
347	30	1
235	733	1
235	5	1
235	559	1
235	165	1
795	266	2
795	7	2
795	597	2
795	170	1
795	247	2
795	400	2
266	7	2
266	597	2
266	170	1
266	247	2
266	400	2
7	597	2
7	170	1
7	247	2
7	400	2
597	170	2
597	247	2
597	400	3
170	247	1
170	400	2
247	400	2
850	373	1
850	46	1
850	211	1
850	214	1
850	812	1
850	636	1
850	575	1
373	677	1
373	711	2
373	773	2
373	419	1
373	527	1
46	38	2
46	851	1
46	210	1
46	211	1
46	214	2
46	812	2
46	636	1
46	575	1
46	609	1
46	803	1
46	833	2
46	408	2
46	657	1
46	43	1
46	173	1
46	805	1
46	518	2
46	773	1
46	471	1
46	125	2
46	17	2
46	462	1
38	851	2
38	210	2
38	399	1
38	637	1
38	39	1
38	516	1
38	198	1
38	95	1
38	854	1
38	677	1
38	801	1
38	609	2
851	210	2
851	609	1
210	627	1
210	687	1
210	722	1
210	715	1
210	855	1
210	234	1
210	527	1
210	609	2
295	124	4
295	81	2
124	81	2
124	634	1
192	442	2
192	42	2
192	418	2
192	492	2
442	42	2
442	418	2
442	492	2
42	418	2
42	492	2
42	102	1
418	492	2
847	653	3
847	144	2
